CustomerID,InvoiceCount,AvgInvoiceSpending,TotalSpending,MinInvoiceDate,MaxInvoiceDate,AvgLineCount,AvgInvoiceQty
12748.0,211,114.20341232227487,24096.92,2010-12-01 12:48:00,2011-12-09 12:20:00,20.350710900473935,78.26540284360189
13081.0,20,1148.355,22967.1,2010-12-03 17:20:00,2011-12-08 13:13:00,49.0,700.25
13089.0,106,422.5816981132076,44793.66,2010-12-06 13:59:00,2011-12-05 14:30:00,16.27358490566038,220.0188679245283
14088.0,13,2696.7353846153846,35057.56,2011-01-21 13:07:00,2011-11-29 16:16:00,36.23076923076923,597.7692307692307
14096.0,18,2405.068888888889,43291.24,2011-08-30 10:49:00,2011-12-05 17:17:00,265.27777777777777,823.1111111111111
14156.0,53,503.6090566037736,26691.28,2010-12-02 17:08:00,2011-11-30 10:54:00,18.264150943396228,180.26415094339623
14298.0,40,842.4775,33699.1,2010-12-14 12:59:00,2011-12-01 13:12:00,30.425,594.55
14646.0,56,537.3960714285714,30094.18,2010-12-20 10:09:00,2011-12-07 15:19:00,9.910714285714286,152.82142857142858
14911.0,239,425.40677824267783,101672.22,2010-12-01 14:05:00,2011-12-08 15:54:00,22.06694560669456,226.55648535564853
15311.0,117,197.50521367521367,23108.11,2010-12-01 09:41:00,2011-12-09 12:00:00,18.666666666666668,87.02564102564102
17511.0,42,470.8054761904762,19773.83,2010-12-01 10:19:00,2011-12-07 10:12:00,11.619047619047619,174.07142857142858
17841.0,165,219.04812121212123,36142.94,2010-12-01 14:30:00,2011-12-08 12:07:00,46.41818181818182,123.05454545454545
